,restaurant_name,score,rest_url,img_link
34,Buster's American Kitchen,5.0,https://www.doordash.com/store/buster%27s-american-kitchen-madison-1226855/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/cbd1f90e-3140-46e1-ab12-25cb83c56edd-7a7e2bd3-813c-46e1-9d9a-1fef20647b62-retina-large.JPG"
26,Dave & Buster's,5.0,https://www.doordash.com/store/dave-%26-buster%27s-madison-1226934/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/8d81e94b-96ed-423b-a01c-9f9d221f0a60-f887397f-d32f-48da-8bdf-898ad3be56dc-retina-large.JPG"
22,Stadium Takeout,5.0,https://www.doordash.com/store/stadium-takeout-madison-22969246/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/d565c8c8-af81-4175-9923-ed9684d11da8-retina-large.JPG"
12,Nitty Gritty,5.0,https://www.doordash.com/store/nitty-gritty-madison-288918/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/fad84359-e73e-4691-91fd-47c07191fbd4-retina-large.JPG"
18,City Barbeque,5.0,https://www.doordash.com/store/city-barbeque-madison-1592386/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/01822d6b-0fca-4d72-8bb7-33d1a3556cdb-13850b91-1e09-4c90-b483-725cfdbb03a2-retina-large.JPG"
30,lazy oaf lounge,4.9,https://www.doordash.com/store/lazy-oaf-lounge-madison-1354958/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/0bc49bf8-fe43-4e55-bd65-de12422979a0-retina-large.jpg"
8,Chili's Grill & Bar,4.9,https://www.doordash.com/store/chili%27s-grill-%26-bar-madison-339814/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/af2bd1ec-4c8d-4d51-9e75-5d10584e881b-retina-large.jpg"
39,Jordan's Big Ten Pub,4.9,https://www.doordash.com/store/jordan%27s-big-ten-pub-madison-288983/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/d100f1f5-9b3d-461f-b242-84d52238d1b8-retina-large-jpeg"
1,The Cheesecake Factory,4.9,https://www.doordash.com/store/the-cheesecake-factory-madison-342901/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/4bdfc870-eb17-4e73-bb59-18295f571707-retina-large.JPG"
4,Portillo's,4.8,https://www.doordash.com/store/portillo%27s-madison-2555035/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/183b6ae5-ab96-445b-8792-a33dc53f77ff-retina-large.jpg"
6,Wendy's,4.8,https://www.doordash.com/store/wendy%27s-fitchburg-1314252/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/a5637297-118c-4b52-b75c-b55469bb88e3-retina-large.jpg"
32,Madison's,4.7,https://www.doordash.com/store/madison%27s-madison-22999129/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/6964941a-9d95-4550-b0c2-1edf39aa61c7-retina-large.JPG"
15,Denny's,4.7,https://www.doordash.com/store/denny%27s-madison-373937/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/d08c32c9-227b-4273-8b23-d32b81db5d4d-retina-large.jpg"
19,Craftsman Table & Tap,4.6,https://www.doordash.com/store/craftsman-table-%26-tap-middleton-289055/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/f07944af-ff28-4195-b1b4-283155651e0b-retina-large-jpeg"
36,World of Beer,4.6,https://www.doordash.com/store/world-of-beer-middleton-923446/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/c00ecad5-2b66-4d0c-8854-72b04c591b82-retina-large-jpeg"
0,McDonald's,4.6,https://www.doordash.com/store/mcdonald%27s-madison-658055/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/5eb72f5b-d2cd-41b2-9549-ab14f085f989-retina-large.jpg"
7,Buffalo Wild Wings,4.6,https://www.doordash.com/store/buffalo-wild-wings-madison-313649/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/b360b51a-acb5-42e5-9461-cfa0b426d802-retina-large.png"
33,The Burger Den,4.5,https://www.doordash.com/store/the-burger-den-madison-1507761/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/33a2d494-6035-4402-9bf1-c4e6626a8d1e-retina-large.jpg"
5,"MOOYAH Burgers, Fries and Shakes",4.5,https://www.doordash.com/store/mooyah-burgers%2C-fries-and-shakes-madison-294393/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/31d6dd5e-ccee-4722-90af-49910aac9ab0-0491eeb6-a591-4efa-a9e4-e26d6984b273-retina-large.JPG"
16,IHOP,4.5,https://www.doordash.com/store/ihop-middleton-688757/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/b214d957-f7f2-4d2b-bc83-bc6fbf80b17b-478132fd-26d0-4188-9011-1d17d4cfc5bf-retina-large.JPG"
