,restaurant_name,score,rest_url,img_link
9,Wendy's,5.0,https://www.doordash.com/store/wendy%27s-fitchburg-1314252/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/a5637297-118c-4b52-b75c-b55469bb88e3-retina-large.jpg"
6,Papa Johns,5.0,https://www.doordash.com/store/papa-johns-madison-423365/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/017a1c82-8f0c-417f-b7d1-e4ed926a7e94-retina-large.jpg"
23,Swagat Indian Restaurant,5.0,https://www.doordash.com/store/swagat-indian-restaurant-madison-289145/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/1c2b77de-df26-4594-9b1d-d9ab5e76f603-retina-large.jpg"
37,Great Wall,5.0,https://www.doordash.com/store/great-wall-madison-289098/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/1ae7777c-a78b-41bc-9319-214a4a12594b-retina-large-jpeg"
20,Sunny Pho,5.0,https://www.doordash.com/store/sunny-pho-madison-1189168/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/73974e66-875a-4901-b7db-0abedb1ec59e-retina-large.JPG"
46,Hy-Vee Mealtime,4.9,https://www.doordash.com/store/hy-vee-mealtime-madison-940796/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/f434e13e-58fb-48a4-868c-b775644b9008-retina-large-jpeg"
22,Taste of Sichuan,4.9,https://www.doordash.com/store/taste-of-sichuan-madison-1414475/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/64b85a81-bf17-4758-adfb-8378f1c8c83d-retina-large.JPG"
4,The Cheesecake Factory,4.9,https://www.doordash.com/store/the-cheesecake-factory-madison-342901/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/4bdfc870-eb17-4e73-bb59-18295f571707-retina-large.JPG"
29,The Thirsty Goat,4.8,https://www.doordash.com/store/the-thirsty-goat-fitchburg-288986/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/73740697-1ee9-4c2f-b7d8-34f7df8c38f3-retina-large-jpeg"
8,Portillo's,4.8,https://www.doordash.com/store/portillo%27s-madison-2555035/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/183b6ae5-ab96-445b-8792-a33dc53f77ff-retina-large.jpg"
11,Buffalo Wild Wings,4.8,https://www.doordash.com/store/buffalo-wild-wings-madison-313649/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/b360b51a-acb5-42e5-9461-cfa0b426d802-retina-large.png"
36,The best Chang Jiang Chinese restaurant,4.8,https://www.doordash.com/store/the-best-chang-jiang-chinese-restaurant-fitchburg-1755627/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/66620169-c106-4e90-8381-1aedd818fd43-retina-large-jpeg"
44,MrBeast Burger,4.8,https://www.doordash.com/store/mrbeast-burger-madison-2257785/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/8605db4f-75a0-442a-af84-b94216c871b4-retina-large.jpg"
30,Maharana Indian Restaurant,4.7,https://www.doordash.com/store/maharana-indian-restaurant-madison-288948/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/206f48ca-322c-40c6-bd0f-37c454ba3058-retina-large.jpg"
12,Ichiban Sichuan,4.7,https://www.doordash.com/store/ichiban-sichuan-madison-1414488/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/4dd0d20a-4314-4cb9-8c86-3ee81486ea2d-retina-large.JPG"
17,KFC,4.7,https://www.doordash.com/store/kfc-madison-1129102/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/83121a8d-53ae-4b0f-af80-d15da6f4d04b-retina-large.JPG"
28,Toppers Pizza,4.6,https://www.doordash.com/store/toppers-pizza-madison-1062843/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/3d2a3109-99bd-4944-b709-d1d922d0f13f-4a4c2fe5-44e5-4023-8644-c934cefad539-retina-large.JPG"
35,IHOP,4.6,https://www.doordash.com/store/ihop-middleton-688757/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/b214d957-f7f2-4d2b-bc83-bc6fbf80b17b-478132fd-26d0-4188-9011-1d17d4cfc5bf-retina-large.JPG"
0,McDonald's,4.6,https://www.doordash.com/store/mcdonald%27s-madison-658055/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/5eb72f5b-d2cd-41b2-9549-ab14f085f989-retina-large.jpg"
7,Shake Shack,4.6,https://www.doordash.com/store/shake-shack-madison-1249899/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/9dcfb8ac-c160-4f3d-9ad2-f1da83352f8c-retina-large.jpg"
5,Wings Over,4.6,https://www.doordash.com/store/wings-over-madison-288788/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/e731e40d-22ee-476b-8742-5c52664050a0-retina-large.png"
33,Little Caesars Pizza,4.6,https://www.doordash.com/store/little-caesars-pizza-madison-23144938/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/25f30231-4828-4f4c-9fbe-8c372fed0269-retina-large-jpeg"
21,Mad Seafood Boiler,4.5,https://www.doordash.com/store/mad-seafood-boiler-madison-288920/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/9ec1b190-7e0d-4a54-8966-59121b6a8ddf-retina-large.jpg"
43,Pizza Extreme,4.5,https://www.doordash.com/store/pizza-extreme-madison-289182/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/a5384a1e-f1e9-497c-b003-10bd8a46b248-retina-large.jpg"
14,Dunkin',4.5,https://www.doordash.com/store/dunkin%27-madison-1219362/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/5346f711-32d0-4134-b66c-25c01ee75759-retina-large.JPG"
2,Chick-fil-A,4.5,https://www.doordash.com/store/chick-fil-a-madison-390078/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/8045aaf0-f815-498c-bd76-aad4d2bb03f2-retina-large-jpeg"
18,Naf Naf Grill,4.4,https://www.doordash.com/store/naf-naf-grill-madison-23460971/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/d9e2dfae-8516-44cc-80bb-d223946d963e-retina-large.jpg"
34,Maharani Restaurant,4.4,https://www.doordash.com/store/maharani-restaurant-madison-288956/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/a70edf35-d3c2-4631-904d-61fa6da27222-retina-large.JPG"
42,City Barbeque,4.4,https://www.doordash.com/store/city-barbeque-madison-1592386/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/01822d6b-0fca-4d72-8bb7-33d1a3556cdb-13850b91-1e09-4c90-b483-725cfdbb03a2-retina-large.JPG"
40,Me & Julio,4.4,https://www.doordash.com/store/me-%26-julio-fitchburg-289020/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/6dd45972-cef2-4ebb-bc46-c851538f66e9-retina-large-jpeg"
19,Famous Dave's,4.2,https://www.doordash.com/store/famous-dave%27s-madison-656008/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/3633e343-cc2f-47f9-94f5-6b8f8214ab69-1a2d3732-8507-4063-8aef-5aa83704500b-retina-large.JPG"
1,Popeyes,4.2,https://www.doordash.com/store/popeyes-fitchburg-729356/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/a4332812-e1f1-4754-bddb-3bc2a20e2868-retina-large.png"
45,Laredo’s Mexican Restaurant,4.2,https://www.doordash.com/store/laredo%E2%80%99s-mexican-restaurant-fitchburg-289163/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/c55f3d41-c810-43bf-86d6-3cc6980ab3ed-retina-large.JPG"
48,Stadium Takeout,4.1,https://www.doordash.com/store/stadium-takeout-madison-22969246/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/d565c8c8-af81-4175-9923-ed9684d11da8-retina-large.JPG"
49,fugu asian restaurant,4.0,https://www.doordash.com/store/fugu-asian-restaurant-madison-1092762/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/1b2532b4-f17b-47f1-bab8-b584ad9efcfb-retina-large-jpeg"
31,Arby's,4.0,https://www.doordash.com/store/arby%27s-madison-800350/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/47cd26bf-7b90-4c19-9055-16f820c97b20-retina-large.jpg"
27,Insomnia Cookies,4.0,https://www.doordash.com/store/insomnia-cookies-madison-23140907/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/aaaef658-a4fd-43a6-b821-7f4065826b6a-retina-large.png"
24,Tropical Smoothie Cafe,4.0,https://www.doordash.com/store/tropical-smoothie-cafe-madison-23057116/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/ab620066-c35f-4908-b3d6-96e5c40d03b1-1f288b7b-bcb3-4a9c-90ea-9ede25e2a0be-retina-large.JPG"
32,Denny's,3.9,https://www.doordash.com/store/denny%27s-madison-373937/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/d08c32c9-227b-4273-8b23-d32b81db5d4d-retina-large.jpg"
39,Steak Escape,3.9,https://www.doordash.com/store/steak-escape-madison-23229458/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/898780c3-a2a8-4113-9557-aa9efcd6886a-retina-large.jpg"
13,Chili's Grill & Bar,3.9,https://www.doordash.com/store/chili%27s-grill-%26-bar-madison-339814/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/af2bd1ec-4c8d-4d51-9e75-5d10584e881b-retina-large.jpg"
3,Chipotle,3.9,https://www.doordash.com/store/chipotle-madison-350727/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/b17154e5-c7e0-4397-bef2-d56b41b2d88b-retina-large.png"
26,Sarku Japan,3.8,https://www.doordash.com/store/sarku-japan-madison-1164023/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/477d49a2-e0ad-400b-b0bc-3b3100674ed6-retina-large.jpg"
