,restaurant_name,score,rest_url,img_link
16,Good News Ice Cream,5.0,https://www.doordash.com/store/good-news-ice-cream-madison-22982075/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/d9be61bf-2cb5-43f7-86f5-768803edceb2-retina-large.JPG"
14,Adamah Neighborhood Table,4.9,https://www.doordash.com/store/adamah-neighborhood-table-madison-894883/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/d0830cbb-feb5-4bec-9c3c-b2098bab3906-retina-large.JPG"
15,Bandit Tacos & Coffee,4.9,https://www.doordash.com/store/bandit-tacos-%26-coffee-madison-24432630/,
17,Diamonds Cafe,4.8,https://www.doordash.com/store/diamonds-cafe-madison-1783270/,
12,Steep & Brew West,4.8,https://www.doordash.com/store/steep-%26-brew-west-madison-592082/,
3,Einstein Bros Bagels,4.7,https://www.doordash.com/store/einstein-bros-bagels-madison-918408/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/8af2ae45-834d-4a03-9118-23b471bfddb3-retina-large-jpeg"
4,Monona Bakery and Eatery,4.7,https://www.doordash.com/store/monona-bakery-and-eatery-madison-289147/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/774f4709-ea2f-41de-b816-843fe370fd5b-retina-large.jpg"
5,Sencha Tea Bar,4.7,https://www.doordash.com/store/sencha-tea-bar-madison-592120/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/955dcb8d-29db-4935-b4e0-38961b9b3610-retina-large.JPG"
6,Mediterranean Cafe,4.6,https://www.doordash.com/store/mediterranean-cafe-madison-1150945/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/83d5972b-26c1-481d-95ac-809dd86521a5-retina-large.jpg"
7,Beneblends,4.4,https://www.doordash.com/store/beneblends-madison-22919882/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/6e8defe4-8bfb-49af-a007-5422bc60cfee-retina-large.PNG"
8,Sunroom Cafe,4.4,https://www.doordash.com/store/sunroom-cafe-madison-2380410/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/f70e8760-72b9-401a-bdb3-02c583182fe8-retina-large.JPG"
11,Barriques,4.4,https://www.doordash.com/store/barriques-madison-1183784/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/30a21248-5645-4ddb-a822-fe4b203a4eb0-retina-large.jpeg"
2,Tropical Smoothie Cafe,4.3,https://www.doordash.com/store/tropical-smoothie-cafe-madison-23057116/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/ab620066-c35f-4908-b3d6-96e5c40d03b1-1f288b7b-bcb3-4a9c-90ea-9ede25e2a0be-retina-large.JPG"
18,Elie's Cafe,4.2,https://www.doordash.com/store/elie%27s-cafe-monona-23021767/,
0,McDonald's,4.0,https://www.doordash.com/store/mcdonald%27s-madison-658055/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/5eb72f5b-d2cd-41b2-9549-ab14f085f989-retina-large.jpg"
10,Glorious Beans Coffee and Teas,3.8,https://www.doordash.com/store/glorious-beans-coffee-and-teas-madison-1067467/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/6730dc7b-100b-4937-9fad-5d68293a8009-retina-large-jpeg"
9,Grace Coffee Co.,3.8,https://www.doordash.com/store/grace-coffee-co.-madison-1880786/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/5e347ee2-914c-4371-b956-2332bf65e9d1-retina-large.jpg"
13,Snack & Go Convenience Store,3.7,https://www.doordash.com/store/snack-%26-go-convenience-store-madison-441892/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/0eb733c0-307d-44e2-84b8-23e1b0498d5b-retina-large.jpg"
1,Dunkin',3.7,https://www.doordash.com/store/dunkin%27-madison-1219362/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/5346f711-32d0-4134-b66c-25c01ee75759-retina-large.JPG"
