,restaurant_name,score,rest_url,img_link
20,La Bamba,5.0,https://www.doordash.com/store/la-bamba-madison-289045/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/c86bb080-43fc-4e4d-a496-364142e5ed1a-retina-large.JPG"
21,Papa Corazón’s Quesadillas,4.9,https://www.doordash.com/store/papa-coraz%C3%B3n%E2%80%99s-quesadillas-madison-23966538/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/a4b70b27-dbe2-4c94-ab80-f91bef70cc3d-ebf852c9-97d2-482c-88c5-82e9b60d5cf9-retina-large.JPG"
18,Taqueria Gonzalez,4.9,https://www.doordash.com/store/taqueria-gonzalez-middleton-772451/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/c2e97330-5919-4b30-8d6a-18f7814773c0-retina-large.JPG"
2,Los Gemelos,4.9,https://www.doordash.com/store/los-gemelos-madison-288845/,
28,El Rancho Mexican Grill,4.8,https://www.doordash.com/store/el-rancho-mexican-grill-madison-772452/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/aedf472b-1d7f-4823-9836-5930b356fc17-retina-large.JPG"
12,Taqueria Guadalajara,4.8,https://www.doordash.com/store/taqueria-guadalajara-madison-288814/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/c30e6a5e-5551-4f84-aad9-ed06841bd303-retina-large.JPG"
23,ZAVALAS MARKET AND TAQUERIA,4.8,https://www.doordash.com/store/zavalas-market-and-taqueria-madison-24230805/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/bd01295a-b3d7-4a73-a634-2df61951bada-retina-large.JPG"
17,Me & Julio,4.8,https://www.doordash.com/store/me-%26-julio-fitchburg-289020/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/6dd45972-cef2-4ebb-bc46-c851538f66e9-retina-large-jpeg"
9,Poke It Up Madison,4.8,https://www.doordash.com/store/poke-it-up-madison-madison-1775734/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/92a76618-40b4-4b79-ab22-f796e0835c46-retina-large.JPG"
37,Cocina Real,4.7,https://www.doordash.com/store/cocina-real-middleton-289005/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/85510605-d063-40c7-b5a2-323b11a3c332-retina-large-jpeg"
33,La Mestiza,4.7,https://www.doordash.com/store/la-mestiza-madison-678547/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/2afd85f6-79da-4f14-9733-f454ceea0ead-retina-large.jpg"
25,Lucille,4.7,https://www.doordash.com/store/lucille-madison-288868/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/93ce7df7-0ce6-4d1c-8495-a854ee918c7d-retina-large.jpg"
15,ARODS TEX MEX AMERICAN GRILL,4.7,https://www.doordash.com/store/arods-tex-mex-american-grill-madison-23893778/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/ec082366-67ac-4716-b8be-232da18d7b73-retina-large.JPG"
38,Patricia's Market,4.6,https://www.doordash.com/store/patricia%27s-market-madison-2632128/,
34,BigSur Cantina-,4.6,https://www.doordash.com/store/bigsur-cantina--madison-24049444/,
30,Pedro's Mexican Restaurante,4.6,https://www.doordash.com/store/pedro%27s-mexican-restaurante-madison-289119/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/81224fce-2e33-4497-9ebc-a191a008a79b-retina-large-jpeg"
13,El Rancho Mexican Grill,4.6,https://www.doordash.com/store/el-rancho-mexican-grill-madison-288817/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/cbe3d826-bfeb-497b-b7c8-22b9bae7c649-retina-large.JPG"
27,LA Penca Mexican Restaurant,4.5,https://www.doordash.com/store/la-penca-mexican-restaurant-madison-871233/,
26,Laredo’s Mexican Restaurant,4.5,https://www.doordash.com/store/laredo%E2%80%99s-mexican-restaurant-fitchburg-289163/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/c55f3d41-c810-43bf-86d6-3cc6980ab3ed-retina-large.JPG"
0,Taco Bell,4.5,https://www.doordash.com/store/taco-bell-madison-1199294/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/e5b7873f-7e8a-4d40-90aa-8cb8be53148e-retina-large.jpg"
10,Qdoba Mexican Eats,4.5,https://www.doordash.com/store/qdoba-mexican-eats-madison-600613/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/19d20540-0fe0-46ec-9d87-66078a7e06ed-retina-large.jpg"
4,El Pastor Restaurant And Bar,4.5,https://www.doordash.com/store/el-pastor-restaurant-and-bar-madison-512178/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/0d79ece2-b461-4d46-be27-834517e2006e-retina-large.jpg"
1,Chipotle,4.4,https://www.doordash.com/store/chipotle-madison-350727/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/b17154e5-c7e0-4397-bef2-d56b41b2d88b-retina-large.png"
19,Canteen,4.4,https://www.doordash.com/store/canteen-madison-289146/,
29,Los Atlantes,4.4,https://www.doordash.com/store/los-atlantes-madison-288836/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/fce88163-5aca-4329-bb93-a0f152364cd3-retina-large-jpeg"
7,Taco John's,4.4,https://www.doordash.com/store/taco-john%27s-monona-294447/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/060095ae-d77d-4c0e-b0a6-75c2e9a8914f-retina-large.jpg"
14,Taqueria El Jalapeño,4.3,https://www.doordash.com/store/taqueria-el-jalape%C3%B1o-madison-288806/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/5a356ffe-2604-4925-aaf1-482e83ce83b5-retina-large-jpeg"
22,Pancheros Mexican Grill,4.3,https://www.doordash.com/store/pancheros-mexican-grill-madison-294436/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/8d318430-8fb4-4ae6-bed0-627fd3e6f72b-308b7479-22c9-4c7a-bc96-a23057ca9820-retina-large.JPG"
36,TACO LOCAL,4.2,https://www.doordash.com/store/taco-local-madison-23195656/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/dcb2e542-c992-460f-9b88-b11e15d40ff3-aceee702-5ae9-4efb-9fa1-470d73a6b768-retina-large.JPG"
31,Habanero’s Mexican Grill,4.1,https://www.doordash.com/store/habanero%E2%80%99s-mexican-grill-madison-23028184/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/0d721344-175c-4dc9-86d0-9f6e87dc5696-retina-large.JPG"
3,Chili's Grill & Bar,4.1,https://www.doordash.com/store/chili%27s-grill-%26-bar-madison-339814/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/af2bd1ec-4c8d-4d51-9e75-5d10584e881b-retina-large.jpg"
8,Tex Tubb's Taco Palace,4.0,https://www.doordash.com/store/tex-tubb%27s-taco-palace-madison-288854/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/411b68d7-ea68-4ab4-abc7-cdc1b1e7873e-retina-large-jpeg"
16,BelAir Cantina,4.0,https://www.doordash.com/store/belair-cantina-madison-288979/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/215f798d-6e3a-47ee-a879-9e01cf3df80c-retina-large.png"
35,Sabores fusion Grill,4.0,https://www.doordash.com/store/sabores-fusion-grill-madison-24036433/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/8e977558-9945-4ba8-9bcf-d9b9e1d3b832-retina-large.JPG"
32,Mishqui Peruvian Cuisine,3.9,https://www.doordash.com/store/mishqui-peruvian-cuisine-madison-23666139/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/6183a5f9-e5f9-4e57-9237-ffb9fb09b1ba-retina-large.JPG"
6,The Thirsty Goat,3.9,https://www.doordash.com/store/the-thirsty-goat-fitchburg-288986/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/73740697-1ee9-4c2f-b7d8-34f7df8c38f3-retina-large-jpeg"
5,Laredo's Mexican Kitchen,3.9,https://www.doordash.com/store/laredo%27s-mexican-kitchen-madison-289150/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/fd14f32d-94c0-4c87-8160-7e481f60d296-retina-large.jpg"
11,bartaco,3.8,https://www.doordash.com/store/bartaco-madison-606577/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/f6c18cd9-6cee-4b28-8ee0-6197a9be5421-retina-large.jpg"
24,Los Gemelos store,3.7,https://www.doordash.com/store/los-gemelos-store-madison-910215/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/3809d610-12b5-47ae-8e06-fd8894e1cafa-retina-large.JPG"
39,Bandit Tacos & Coffee,3.7,https://www.doordash.com/store/bandit-tacos-%26-coffee-madison-24432630/,
