,restaurant_name,score,rest_url,img_link
40,Pizza Pit - Madison-West,5.0,https://www.doordash.com/store/pizza-pit---madison-west-madison-1869055/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/e6010157-294c-43a5-8883-2186f0e62582-retina-large.jpeg"
20,Arby's,5.0,https://www.doordash.com/store/arby%27s-madison-800350/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/47cd26bf-7b90-4c19-9055-16f820c97b20-retina-large.jpg"
28,City Barbeque,5.0,https://www.doordash.com/store/city-barbeque-madison-1592386/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/01822d6b-0fca-4d72-8bb7-33d1a3556cdb-13850b91-1e09-4c90-b483-725cfdbb03a2-retina-large.JPG"
17,Firehouse Subs,5.0,https://www.doordash.com/store/firehouse-subs-madison-330047/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/ecccd2df-ff02-4c20-aac4-e5ec212ad529-retina-large.jpg"
27,Madtown Chicken N' Fish,4.9,https://www.doordash.com/store/madtown-chicken-n%27-fish-madison-592085/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/62eec43a-a195-41f0-8cfb-baf1f810bfb6-retina-large-jpeg"
6,Potbelly Sandwich Shop,4.9,https://www.doordash.com/store/potbelly-sandwich-shop-madison-294455/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/75f7c7d4-31ee-4f28-ae04-59cecd4d9f3f-retina-large.png"
23,IHOP,4.9,https://www.doordash.com/store/ihop-middleton-688757/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/b214d957-f7f2-4d2b-bc83-bc6fbf80b17b-478132fd-26d0-4188-9011-1d17d4cfc5bf-retina-large.JPG"
15,Tropical Smoothie Cafe,4.8,https://www.doordash.com/store/tropical-smoothie-cafe-madison-23057116/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/ab620066-c35f-4908-b3d6-96e5c40d03b1-1f288b7b-bcb3-4a9c-90ea-9ede25e2a0be-retina-large.JPG"
34,Sunroom Cafe,4.8,https://www.doordash.com/store/sunroom-cafe-madison-2380410/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/f70e8760-72b9-401a-bdb3-02c583182fe8-retina-large.JPG"
11,Cafe Zupas,4.8,https://www.doordash.com/store/cafe-zupas-middleton-289129/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/a36c2368-afbe-410c-91b0-504f627c4a80-2a780d5e-cd01-43fc-9ac2-506389ab5bf0-retina-large.JPG"
4,Panera Bread,4.8,https://www.doordash.com/store/panera-bread-madison-667809/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/a4d37d78-720f-4a46-9ae3-7368071b1d3e-retina-large-jpeg"
47,Wild Burger,4.8,https://www.doordash.com/store/wild-burger-madison-2360231/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/71d78ca1-07df-45e6-9f30-3d16a5f77de2-retina-large.png"
45,Pinkus McBride Market,4.7,https://www.doordash.com/store/pinkus-mcbride-market-madison-712798/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/3b7e8467-7dc8-4adf-9310-0b624db94345-retina-large-jpeg"
48,Bird Dawgs,4.7,https://www.doordash.com/store/bird-dawgs-madison-23550957/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/0ac6ce69-64ee-4107-9f06-f4c18f3924c6-retina-large.JPG"
41,Fresh Set,4.6,https://www.doordash.com/store/fresh-set-monona-1506462/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/538c1306-2433-4b3c-83ac-ddb7421ba194-retina-large.png"
21,Red Robin Gourmet Burgers and Brews,4.6,https://www.doordash.com/store/red-robin-gourmet-burgers-and-brews-monona-294366/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/fe2db2c0-294f-449f-a44a-0d7e1f15eab2-retina-large.png"
0,Popeyes,4.6,https://www.doordash.com/store/popeyes-fitchburg-729356/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/a4332812-e1f1-4754-bddb-3bc2a20e2868-retina-large.png"
42,Monk's Bar & Grill,4.5,https://www.doordash.com/store/monk%27s-bar-%26-grill-middleton-289140/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/306982fe-8f44-4564-b2b9-ef67dafc7942-retina-large.jpg"
43,lazy oaf lounge,4.5,https://www.doordash.com/store/lazy-oaf-lounge-madison-1354958/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/0bc49bf8-fe43-4e55-bd65-de12422979a0-retina-large.jpg"
31,Stadium Takeout,4.5,https://www.doordash.com/store/stadium-takeout-madison-22969246/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/d565c8c8-af81-4175-9923-ed9684d11da8-retina-large.JPG"
30,The Meltdown,4.5,https://www.doordash.com/store/the-meltdown-madison-1655313/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/e53855bc-1204-4472-9c08-cebe38b9470b-retina-large.jpg"
37,Glorious Beans Coffee and Teas,4.4,https://www.doordash.com/store/glorious-beans-coffee-and-teas-madison-1067467/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/6730dc7b-100b-4937-9fad-5d68293a8009-retina-large-jpeg"
29,MrBeast Burger,4.4,https://www.doordash.com/store/mrbeast-burger-madison-2257785/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/8605db4f-75a0-442a-af84-b94216c871b4-retina-large.jpg"
49,Madison's,4.4,https://www.doordash.com/store/madison%27s-madison-22999129/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/6964941a-9d95-4550-b0c2-1edf39aa61c7-retina-large.JPG"
14,Estacion Inka,4.4,https://www.doordash.com/store/estacion-inka-madison-288850/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/d06dd791-3c89-4c7b-afd2-593b6f6da9d2-57b14d97-1093-4996-bece-777974ae99cf-retina-large.JPG"
19,Einstein Bros Bagels,4.3,https://www.doordash.com/store/einstein-bros-bagels-madison-918408/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/8af2ae45-834d-4a03-9118-23b471bfddb3-retina-large-jpeg"
36,Quiznos,4.3,https://www.doordash.com/store/quiznos-madison-428299/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/d165329f-ad6d-41fd-9f33-e584602260e3-retina-large-jpeg"
25,Steak Escape,4.2,https://www.doordash.com/store/steak-escape-madison-23229458/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/898780c3-a2a8-4113-9557-aa9efcd6886a-retina-large.jpg"
35,Tender Shack,4.2,https://www.doordash.com/store/tender-shack-madison-1453434/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/287b509c-ba04-4194-821d-83f27b2285a9-retina-large-jpeg"
3,Burger King,4.2,https://www.doordash.com/store/burger-king-madison-482086/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/5769aab7-e459-4c2c-97ea-032863534b9e-retina-large.png"
18,Freska Mediterranean Grill,4.2,https://www.doordash.com/store/freska-mediterranean-grill-middleton-288938/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/91c996bc-8a34-4565-b3c5-c5596ef07281-retina-large-jpeg"
32,Copper Top Restaurant,4.2,https://www.doordash.com/store/copper-top-restaurant-madison-289041/,
7,Jersey Mike's Subs,4.1,https://www.doordash.com/store/jersey-mike%27s-subs-madison-1873597/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/ab893aab-90ff-4110-b194-ee5638782956-retina-large.jpg"
9,KFC,4.1,https://www.doordash.com/store/kfc-madison-1129102/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/83121a8d-53ae-4b0f-af80-d15da6f4d04b-retina-large.JPG"
12,Jason's Deli,4.1,https://www.doordash.com/store/jason%27s-deli-madison-294379/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/3400653b-e748-4ca5-950a-bfc85263239b-retina-large.JPG"
10,Naf Naf Grill,4.0,https://www.doordash.com/store/naf-naf-grill-madison-23460971/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/d9e2dfae-8516-44cc-80bb-d223946d963e-retina-large.jpg"
1,The Cheesecake Factory,3.9,https://www.doordash.com/store/the-cheesecake-factory-madison-342901/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/4bdfc870-eb17-4e73-bb59-18295f571707-retina-large.JPG"
